,ID_ANUNCIO,TIPO_IMOVEL,TITULO,QTD_QUARTOS,AREA_M2,VAGAS_GARAGEM,QTD_BANHEIROS,CIDADE,BAIRRO,VALOR_RS,IPTU_RS,CONDOMINIO_RS,DATA_PUBLICACAO,LINK
0,1124436908,Apartamento,Apartamento para venda tem 60 metros quadrados com 2 quartos em Piatã - Salvador - BA,2.0,60.0,1.0,2.0,Salvador,Piatã,350000.0,60.0,200.0,2023-02-05 18:22,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-tem-60-metros-quadrados-com-2-quartos-em-piata-salvador-ba-1124436908
1,993234401,Apartamento,Mansão Torre do Horto - Apartamento  - Venda,4.0,295.0,5.0,5.0,Salvador,Horto Florestal,2800000.0,590.0,,2023-02-05 18:22,https://ba.olx.com.br/grande-salvador/imoveis/mansao-torre-do-horto-apartamento-venda-993234401
2,978325564,Apartamento,Apartamento para venda na Paralela região do Imbui- Salvador - BA,2.0,39.0,,1.0,Salvador,Paralela,209000.0,,,2023-02-05 18:20,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-na-paralela-regiao-do-imbui-salvador-ba-978325564
3,1000011315,Casa,"Casa com 6/4 Sendo 1 Suíte Master com Varanda no Cond. JARDIM PLACAFORD, PIATÃ.",5.0,240.0,2.0,4.0,Salvador,Piatã,1100000.0,135.0,950.0,2023-02-05 18:20,https://ba.olx.com.br/grande-salvador/imoveis/casa-com-6-4-sendo-1-suite-master-com-varanda-no-cond-jardim-placaford-piata-1000011315
4,1015134937,Apartamento,"Apartamento 3 Quartos para Venda em Salvador, Horto Florestal, 2 dormitórios, 2 suítes, 4 ",2.0,83.0,2.0,4.0,Salvador,Horto Florestal,1050000.0,,1200.0,2023-02-05 18:20,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-3-quartos-para-venda-em-salvador-horto-florestal-2-dormitorios-2-suites-4-1015134937
5,985827600,Apartamento,"Apartamento 4 Quartos para Venda em Salvador, Caminho das Árvores, 4 dormitórios, 3 suítes",4.0,138.0,3.0,5.0,Salvador,Caminho das Árvores,1180000.0,200.0,1550.0,2023-02-05 18:20,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-4-quartos-para-venda-em-salvador-caminho-das-arvores-4-dormitorios-3-suites-985827600
6,1103590218,Apartamento,Apartamento à venda no bairro Cabula - Salvador/BA,2.0,61.0,1.0,1.0,Salvador,Cabula,324990.0,127.0,600.0,2023-02-05 18:20,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-a-venda-no-bairro-cabula-salvador-ba-1103590218
7,1124478858,Apartamento,"Apartamento 2 Quartos para Venda em Salvador, ImbuÍ, 2 dormitórios, 1 suíte, 3 banheiros, ",2.0,60.0,1.0,3.0,Salvador,Imbuí,490000.0,160.0,488.0,2023-02-05 18:20,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-2-quartos-para-venda-em-salvador-imbui-2-dormitorios-1-suite-3-banheiros-1124478858
8,1085649383,Apartamento,"Apartamento a venda, 103m², 3/4, Cidade Jardim, Salvador.",3.0,103.0,2.0,4.0,Salvador,Candeal,590000.0,1820.0,1030.0,2023-02-05 18:19,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-a-venda-103m-3-4-cidade-jardim-salvador-1085649383
9,1066952010,Apartamento,3 Quartos - 2 Suíte - 94 m² - Varanda - 2 Vagas de Garagem,3.0,94.0,2.0,4.0,Salvador,Graça,780000.0,550.0,950.0,2023-02-05 18:19,https://ba.olx.com.br/grande-salvador/imoveis/3-quartos-2-suite-94-m-varanda-2-vagas-de-garagem-1066952010
10,1134633649,Casa,Casa Triplex de condomínio venda com 182m2 com 5quartos sendo 2 suítes na P. Flamengo - Sa,5.0,182.0,2.0,1.0,Salvador,Praia do Flamengo,760000.0,2649.0,664.0,2023-02-05 18:19,https://ba.olx.com.br/grande-salvador/imoveis/casa-triplex-de-condominio-venda-com-182m2-com-5quartos-sendo-2-suites-na-p-flamengo-sa-1134633649
11,985920969,Apartamento,Condomínio Porto Trapiche com 3 suítes alto padrão 184 m²,3.0,187.0,2.0,5.0,Salvador,Comércio,3490000.0,506.0,3800.0,2023-02-05 18:17,https://ba.olx.com.br/grande-salvador/imoveis/condominio-porto-trapiche-com-3-suites-alto-padrao-184-m-985920969
12,1139089800,Apartamento,"Apto o 3 dormitórios à venda, 75 m² R$ 160.000,00",3.0,75.0,,2.0,Salvador,Jardim das Margaridas,160000.0,,268.0,2023-02-05 18:17,https://ba.olx.com.br/grande-salvador/imoveis/apto-o-3-dormitorios-a-venda-75-m-r-160-000-00-1139089800
13,1025040676,Apartamento,Apartamento no cabula IV,2.0,52.0,1.0,1.0,Salvador,Cabula,175000.0,,200.0,2023-02-05 18:17,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-no-cabula-iv-1025040676
14,981883003,Apartamento,"Apartamento com 2 suítes à venda, 80 m² por R$ 580.000 - Armação - Salvador/BA",2.0,80.0,2.0,3.0,Salvador,Armação,580000.0,340.0,,2023-02-05 18:17,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-2-suites-a-venda-80-m-por-r-580-000-armacao-salvador-ba-981883003
15,951051276,Apartamento,SALVADOR - Apartamento Padrão - CAMINHO DAS ÁRVORES,3.0,150.0,3.0,3.0,Salvador,Caminho das Árvores,1200000.0,3385.0,1309.0,2023-02-05 18:17,https://ba.olx.com.br/grande-salvador/imoveis/salvador-apartamento-padrao-caminho-das-arvores-951051276
16,1129095250,Apartamento,APARTAMENTO À VENDA COM 4 QUARTOS 200 M² NO CAMPO GRANDE-SALVADOR/BA,4.0,200.0,2.0,3.0,Salvador,Centro,1000000.0,2618.0,2000.0,2023-02-05 18:17,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-venda-com-4-quartos-200-m-no-campo-grande-salvador-ba-1129095250
17,1065657259,Apartamento,Ed. Evolution 2 opções (54m² e 77m²) ver descrição.,1.0,54.0,1.0,1.0,Salvador,Armação,369000.0,,,2023-02-05 18:17,https://ba.olx.com.br/grande-salvador/imoveis/ed-evolution-2-opcoes-54m-e-77m-ver-descricao-1065657259
18,1143230440,Apartamento,Apartamento para venda tem 107 metros quadrados com 3 quartos em Alphaville I - Salvador -,3.0,107.0,2.0,2.0,Salvador,Alphaville I,1000000.0,3999.0,800.0,2023-02-05 18:16,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-tem-107-metros-quadrados-com-3-quartos-em-alphaville-i-salvador-1143230440
19,998871506,Apartamento,"Apartamento para Venda em Salvador, Imbuí, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas",3.0,109.0,2.0,2.0,Salvador,Imbuí,890000.0,1400.0,,2023-02-05 18:16,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-em-salvador-imbui-3-dormitorios-1-suite-2-banheiros-2-vagas-998871506
20,1022907359,Apartamento,"Apartamento para Venda em Salvador, Cidade Jardim, 4 dormitórios, 3 suítes, 4 banheiros, 4",4.0,178.0,4.0,4.0,Salvador,Candeal,1400000.0,5432.0,1697.0,2023-02-05 18:15,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-em-salvador-cidade-jardim-4-dormitorios-3-suites-4-banheiros-4-1022907359
21,1029407056,Casa,"Casa em Condomínio para Venda em Salvador, Praia do Flamengo, 4 dormitórios, 2 suítes, 4 b",4.0,437.0,2.0,4.0,Salvador,Praia do Flamengo,1200000.0,1407.0,,2023-02-05 18:15,https://ba.olx.com.br/grande-salvador/imoveis/casa-em-condominio-para-venda-em-salvador-praia-do-flamengo-4-dormitorios-2-suites-4-b-1029407056
22,875075145,Apartamento,Apartamento para venda com 75 metros quadrados com 1 quarto em Pituaçu - Salvador - BA,1.0,75.0,2.0,2.0,Salvador,Pituaçu,590000.0,1000.0,500.0,2023-02-05 18:15,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-com-75-metros-quadrados-com-1-quarto-em-pituacu-salvador-ba-875075145
23,1132678795,Apartamento,MV 04 JARDIM DAS MARGARIDAS,2.0,50.0,2.0,1.0,Salvador,Jardim das Margaridas,100000.0,200.0,,2023-02-05 18:14,https://ba.olx.com.br/grande-salvador/imoveis/mv-04-jardim-das-margaridas-1132678795
24,1101749499,Apartamento,"Apto 3/4, suíte, nascente!!",3.0,94.0,2.0,2.0,Salvador,Candeal,690000.0,196.0,,2023-02-05 18:14,https://ba.olx.com.br/grande-salvador/imoveis/apto-3-4-suite-nascente-1101749499
25,950009633,Apartamento,"Apartamento para Venda em Salvador, Ondina, 4 dormitórios, 4 suítes, 6 banheiros, 4 vagas",4.0,298.0,4.0,5.0,Salvador,Ondina,2590000.0,600.0,,2023-02-05 18:13,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-em-salvador-ondina-4-dormitorios-4-suites-6-banheiros-4-vagas-950009633
26,1017153228,Apartamento,Apartamento quarto e sala a venda na Pituba,1.0,38.0,1.0,1.0,Salvador,Pituba,300000.0,,430.0,2023-02-05 18:12,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-quarto-e-sala-a-venda-na-pituba-1017153228
27,1026953118,Casa,Casa para venda tem 290 metros quadrados com 7 quartos em Stella Maris - Salvador - Bahia,5.0,290.0,1.0,4.0,Salvador,Stella Maris,450000.0,,,2023-02-05 18:11,https://ba.olx.com.br/grande-salvador/imoveis/casa-para-venda-tem-290-metros-quadrados-com-7-quartos-em-stella-maris-salvador-bahia-1026953118
28,1087152540,Casa,Mata de São João - Casa de Condomínio - Praia do Forte,5.0,400.0,5.0,5.0,Salvador,Brotas,6350000.0,,,2023-02-05 18:11,https://ba.olx.com.br/grande-salvador/imoveis/mata-de-sao-joao-casa-de-condominio-praia-do-forte-1087152540
29,1069319354,Apartamento,Apartamento para Venda em Salvador/BA,4.0,195.0,4.0,5.0,Salvador,Candeal,1650000.0,410.0,2050.0,2023-02-05 18:11,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-em-salvador-ba-1069319354
30,1068512820,Apartamento,Apartamento para Venda em Salvador/BA,3.0,90.0,1.0,3.0,Salvador,Imbuí,490000.0,190.0,450.0,2023-02-05 18:11,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-venda-em-salvador-ba-1068512820
31,900200524,Apartamento,Apartamento  84 metros com 3 quartos em Garcia - Salvador - BA,3.0,84.0,1.0,2.0,Salvador,Garcia,450000.0,98.0,690.0,2023-02-05 18:11,https://ba.olx.com.br/grande-salvador/imoveis/apartamento-84-metros-com-3-quartos-em-garcia-salvador-ba-900200524
